flex1,flex2,flex3,ax,ay,az,gx,gy,gz,label
3967,2101,4095,-0.977,8.842,-3.287,-0.118,-0.012,0.029,POINT
3908,2079,2559,-0.955,8.871,-3.323,-0.086,-0.107,-0.002,POINT
3728,2032,2779,-1.125,9.026,-3.584,-0.097,-0.149,-0.007,POINT
3883,2035,1492,-1.396,9.206,-3.74,-0.121,-0.031,0.062,POINT
3953,2029,1855,-1.245,9.086,-3.546,-0.156,0.108,0.083,POINT
3856,2002,1936,-1.097,9.021,-3.397,-0.162,0.143,0.048,POINT
3881,1991,1331,-0.915,9.084,-3.105,-0.108,0.064,-0.004,POINT
3771,1932,2336,-0.924,9.136,-3.318,-0.056,-0.059,-0.036,POINT
4033,2096,2620,-1.02,9.242,-3.421,-0.061,-0.089,0.005,POINT
3925,2130,4095,-0.972,9.16,-3.428,-0.073,-0.041,0.055,POINT
3843,2021,2518,-0.807,9.012,-3.29,-0.078,-0.018,0.023,POINT
4000,2113,3856,-0.733,8.985,-3.232,-0.057,-0.069,-0.05,POINT
4011,2058,3909,-0.939,9.069,-3.34,-0.048,-0.102,-0.084,POINT
4095,2067,4095,-1.144,9.22,-3.448,-0.058,-0.1,-0.04,POINT
3918,2077,4095,-1.24,9.21,-3.448,-0.09,-0.025,0.076,POINT
3971,2093,3250,-0.986,8.969,-3.359,-0.097,-0.01,0.109,POINT
4089,2066,4095,-0.855,8.88,-3.294,-0.088,-0.054,0.047,POINT
4052,2054,4095,-1.034,8.976,-3.417,-0.07,-0.096,-0.003,POINT
3701,2047,4095,-1.154,9.093,-3.445,-0.07,-0.085,-0.012,POINT
3920,2038,3010,-1.142,9.167,-3.493,-0.075,-0.038,0.026,POINT
3952,2086,4095,-1.037,9.076,-3.419,-0.08,-0.009,0.043,POINT
3975,2015,2848,-0.974,9.124,-3.318,-0.071,-0.024,0.025,POINT
3997,1953,3194,-0.953,9.064,-3.333,-0.041,-0.054,0.009,POINT
3859,2023,1399,-1.013,9.124,-3.409,-0.037,-0.068,-0.003,POINT
3792,1982,1973,-0.986,9.105,-3.321,-0.054,-0.053,0.015,POINT
3987,1968,2291,-0.867,9.045,-3.251,-0.064,-0.08,0.031,POINT
3933,2017,1047,-0.903,9.009,-3.378,-0.056,-0.108,0.028,POINT
3867,2081,2365,-0.974,8.952,-3.417,-0.068,-0.096,0.016,POINT
4095,2030,2531,-1.058,9.024,-3.39,-0.074,-0.079,-0.001,POINT
4016,1982,4095,-1.135,9.117,-3.433,-0.08,-0.05,0.016,POINT
3867,2038,2544,-1.125,9.148,-3.357,-0.087,-0.042,0.046,POINT
4039,2027,4095,-0.996,9.103,-3.309,-0.082,-0.055,0.042,POINT
3893,2015,4095,-0.984,9.136,-3.364,-0.066,-0.068,0.017,POINT
4075,2021,4095,-1.07,9.172,-3.383,-0.064,-0.036,0.023,POINT
3820,1966,4095,-0.998,9.129,-3.359,-0.063,-0.025,0.022,POINT
3750,1936,2906,-1.049,9.103,-3.328,-0.065,-0.013,0.029,POINT
3821,1981,4095,-0.943,9.069,-3.282,-0.057,-0.033,0.026,POINT
3943,2032,4095,-0.919,9.072,-3.294,-0.048,-0.063,0.019,POINT
3831,1942,4095,-0.895,9.036,-3.335,-0.042,-0.073,0.009,POINT
4095,2096,3515,3.45,2.485,-8.691,-0.052,0.107,0.119,POINT
4009,2073,4095,3.603,2.339,-8.514,-0.012,0.003,0.099,POINT
4019,2000,2615,3.361,2.303,-8.873,0.035,-0.064,0.059,POINT
4095,2044,4095,3.144,2.346,-8.935,0.035,-0.055,0.052,POINT
